rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,2205440800,44.5,-5509708300,-71.4,78271086332,294339,-622313,-67.9,9750486,1446,7019
2,2,0,OLD,20170590,1987,2017-12-27,1643436600,33.1,-2817025500,-63.2,21357902737,217247,-314222,-59.1,2690793,1063,5044
3,3,0,OLD,20170402,강철비,2017-12-14,358149600,7.2,-586079000,-62.1,33297275766,48122,-66176,-57.9,4176713,580,1541
4,4,0,OLD,20179462,위대한 쇼맨,2017-12-20,269239500,5.4,-240708200,-47.2,7436214400,35177,-24893,-41.4,909832,444,949
5,5,0,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,123797500,2.5,-139089000,-52.9,3504213700,17929,-16174,-47.4,467287,371,510
6,6,0,OLD,20176082,몬스터 패밀리,2017-12-21,86870000,1.8,-118923300,-57.8,2823846000,12678,-13843,-52.2,380813,298,386
7,7,0,OLD,20176947,원더,2017-12-27,85593600,1.7,-72956000,-46,876532900,11397,-7925,-41,112399,173,512
8,8,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,50359500,1.0,-58848100,-53.9,6008455700,7200,-6550,-47.6,794693,156,217
9,9,0,OLD,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,23536500,0.5,-24346400,-50.8,351268300,3305,-2635,-44.4,45695,148,225
10,10,0,OLD,20170443,스타워즈: 라스트 제다이,2017-12-14,38460000,0.8,3369500,9.6,8609436561,2913,-385,-11.7,952758,37,63
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,1622619700,32.9,-582821100,-26.4,79893706032,215987,-78352,-26.6,9966473,1241,5724
2,2,0,OLD,20170590,1987,2017-12-27,1329337000,26.9,-314099600,-19.1,22687239737,174979,-42268,-19.5,2865772,964,4231
3,3,0,NEW,20171909,쥬만지: 새로운 세계,2018-01-03,946055400,19.2,946055400,100,967150400,124781,124781,100,127355,724,3110
4,4,0,NEW,20177104,페르디난드,2018-01-03,377615000,7.7,377615000,100,389865000,55641,55641,100,57299,496,956
5,5,-2,OLD,20170402,강철비,2017-12-14,216057300,4.4,-142092300,-39.7,33513333066,28596,-19526,-40.6,4205309,518,1225
6,6,-2,OLD,20179462,위대한 쇼맨,2017-12-20,197451900,4.0,-71787600,-26.7,7633666300,25851,-9326,-26.5,935683,366,833
7,7,-2,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,48771800,1.0,-75025700,-60.6,3552985500,7052,-10877,-60.7,474339,153,178
8,8,-1,OLD,20176947,원더,2017-12-27,33562000,0.7,-52031600,-60.8,910094900,4560,-6837,-60,116959,128,258
9,9,-1,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,27520000,0.6,-22839500,-45.4,6035975700,4024,-3176,-44.1,798717,87,111
10,10,-4,OLD,20176082,몬스터 패밀리,2017-12-21,23183700,0.5,-63686300,-73.3,2847029700,3466,-9212,-72.7,384279,98,105
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,1629898600,34.5,7278900,0.4,81523604632,217032,1045,0.5,10183505,1226,5525
2,2,0,OLD,20170590,1987,2017-12-27,1240939300,26.2,-88397700,-6.6,23928179037,163429,-11550,-6.6,3029201,986,4260
3,3,0,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,817351100,17.3,-128704300,-13.6,1784501500,107670,-17111,-13.7,235025,746,3108
4,4,0,OLD,20177104,페르디난드,2018-01-03,348740800,7.4,-28874200,-7.6,738605800,51461,-4180,-7.5,108760,578,1095
5,5,0,OLD,20170402,강철비,2017-12-14,193710700,4.1,-22346600,-10.3,33707043766,25610,-2986,-10.4,4230919,502,1126
6,6,0,OLD,20179462,위대한 쇼맨,2017-12-20,186925500,4.0,-10526400,-5.3,7820591800,24109,-1742,-6.7,959792,348,792
7,7,44,OLD,20161872,너의 이름은.,2017-01-04,96383800,2.0,96114300,35663.9,29663633456,13070,13038,40743.8,3687473,115,206
8,8,-1,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,38617200,0.8,-10154600,-20.8,3591602700,5566,-1486,-21.1,479905,137,154
9,9,-1,OLD,20176947,원더,2017-12-27,38756100,0.8,5194100,15.5,948851000,5228,668,14.6,122187,143,282
10,10,-1,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,23784900,0.5,-3735100,-13.6,6059760600,3558,-466,-11.6,802275,87,110
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,2251471243,36.4,621572643,38.1,83775075875,268181,51149,23.6,10451686,1211,5497
2,2,0,OLD,20170590,1987,2017-12-27,1708090697,27.6,467151397,37.6,25636269734,202189,38760,23.7,3231390,1012,4456
3,3,0,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,1142337080,18.5,324985980,39.8,2926838580,135352,27682,25.7,370377,750,3200
4,4,0,OLD,20177104,페르디난드,2018-01-03,363712300,5.9,14971500,4.3,1102318100,48424,-3037,-5.9,157184,631,1244
5,5,1,OLD,20179462,위대한 쇼맨,2017-12-20,242077900,3.9,55152400,29.5,8062669700,28042,3933,16.3,987834,346,799
6,6,-1,OLD,20170402,강철비,2017-12-14,228568100,3.7,34857400,18,33935611866,27292,1682,6.6,4258211,495,1081
7,7,2,OLD,20176947,원더,2017-12-27,49733777,0.8,10977677,28.3,998584777,5943,715,13.7,128130,157,297
8,8,-1,OLD,20161872,너의 이름은.,2017-01-04,45987700,0.7,-50396100,-52.3,29709621156,5519,-7551,-57.8,3692992,121,211
9,9,-1,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,33076900,0.5,-5540300,-14.3,3624679600,4230,-1336,-24,484135,140,156
10,10,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,23795500,0.4,10600,0,6083556100,3202,-356,-10,805477,93,115
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,4605271262,36.9,2353800019,104.5,88380347137,548337,280156,104.5,11000023,1260,5536
2,2,0,OLD,20170590,1987,2017-12-27,3672225298,29.5,1964134601,115,29308495032,436755,234566,116,3668145,1094,4812
3,3,0,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,2271361970,18.2,1129024890,98.8,5198200550,268765,133413,98.6,639142,780,3195
4,4,0,OLD,20177104,페르디난드,2018-01-03,765120800,6.1,401408500,110.4,1867438900,100205,51781,106.9,257389,698,1595
5,5,1,OLD,20170402,강철비,2017-12-14,410684600,3.3,182116500,79.7,34346296466,49258,21966,80.5,4307469,457,943
